file	sample	sample_name	condition	replicate
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr12_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr13_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr6_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr7_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr8_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr1_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr10_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr11_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr14_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr15_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr17_141031155246_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr18_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr19_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr2_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
/scratch/negishi/afarzam/deepseq_fragger_2pass/MSV000086944_results_v3/first_pass/LysC_CAD/LysC_CAD_23_1_results/20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr21_sub.mzML	GM12878_LysC_HCD	GM12878_LysC_HCD	GM12878	1
